"place	time	windspeed	winddirection	GUSTwindspeed	pressure	humidity	temperature	watertemperature	maximumwaveheight	significantwaveheight	averagewaveheight	waveperiod	wavedirection"
"22108	2019-01-01 0:00	5.2	7	8.1	1035.7	57	2	8.9	1.3	0.9	0.6	4.9	319"
"22108	2019-01-01 1:00	5.7	11	8.7	1035.8	57	1.8	8.9	1.4	0.9	0.7	4.9	328"
"22108	2019-01-01 2:00	7	347	9.5	1036	58	1.6	8.9	1.9	1	0.7	5.3	316"
"22108	2019-01-01 3:00	6.3	351	9.4	1036.1	61	1.7	8.9	1.5	1	0.7	5.3	307"
"22108	2019-01-01 4:00	7.6	350	10	1036.3	61	2	9	1.8	1.1	0.8	4.3	339"
"22108	2019-01-01 5:00	7.9	358	11.1	1035.5	59	1.8	9	1.6	1	0.7	4.9	312"
"22108	2019-01-01 6:00	6.3	10	9.6	1034.6	61	1.9	9.1	1.8	1.1	0.8	4.6	302"
"22108	2019-01-01 7:00	7.1	340	9.6	1034.7	58	2.2	9.1	1.8	1.2	0.8	5.3	300"
"22108	2019-01-01 8:00	6.6	358	8.6	1034.3	56	2.1	9	2	1.2	0.9	4.9	325"
"22108	2019-01-01 9:00	7.4	350	10.5	1034.4	58	2.2	8.9	1.7	1	0.7	4.3	306"
"22108	2019-01-01 10:00	7.5	337	11.5	1034.8	66	2	8.9	1.8	1.1	0.8	5.8	313"
"22108	2019-01-01 11:00	10.1	339	12.8	1034.7	60	2.8	8.9	1.9	1.2	0.8	4.9	310"
"22108	2019-01-01 12:00	8.9	358	12.1	1034.2	61	2.1	8.8	2.5	1.4	1	5.3	331"
"22108	2019-01-01 13:00	8.1	345	11.5	1033.5	81	0.7	8.8	2.6	1.5	1.1	5.8	320"
"22108	2019-01-01 14:00	10	350	13	1032.9	58	2	8.9	2.8	1.7	1.2	5.3	317"
"22108	2019-01-01 15:00	11.1	350	14.4	1032.9	62	1.8	8.9	3.2	2	1.4	5.8	306"
"22108	2019-01-01 16:00	10.6	350	15.1	1033	63	1.8	8.9	3.2	2.2	1.6	6.4	311"
"22108	2019-01-01 17:00	10.5	5	13.7	1033.5	62	1.9	8.9	3.2	2.2	1.5	6.4	307"
"22108	2019-01-01 18:00	10.8	354	14.4	1033.9	60	1.7	8.9	3.7	2.3	1.6	6.4	294"
"22108	2019-01-01 19:00	10.7	25	14.7	1034.3	58	1.8	9	4	2.5	1.8	7.1	333"
"22108	2019-01-01 20:00	10.3	23	14.1	1034.8	58	1.8	9	4.2	2.9	2	7.1	331"
"22108	2019-01-01 21:00	10	350	13.6	1034.6	58	1.6	8.9	3.5	2.6	1.8	7.1	315"
"22108	2019-01-01 22:00	10.5	1	13.9	1034.4	59	2.1	8.8	4.1	2.4	1.7	7.1	308"
"22108	2019-01-01 23:00	9.1	359	12.5	1034.2	55	2	8.8	4.3	2.7	1.9	8	305"
"22108	2019-01-02 0:00	9.1	33	12.7	1034.3	61	2.2	8.8	3.6	2.4	1.7	7.1	338"
"22108	2019-01-02 1:00	8.3	357	11.7	1034.3	56	2.3	8.8	3.4	2.1	1.5	8	322"
"22108	2019-01-02 2:00	8.3	8	11.9	1034.8	58	2.4	8.7	3.6	2.1	1.5	8	323"
"22108	2019-01-02 3:00	7.5	356	11.6	1034.8	52	2.5	8.8	3.2	2	1.4	6.4	335"
"22108	2019-01-02 4:00	7.6	5	10.4	1034.7	55	2.6	8.8	3.3	2	1.4	7.1	314"
"22108	2019-01-02 5:00	8.3	354	11	1034.6	57	2.8	8.9	2.9	2.1	1.5	6.4	319"
"22108	2019-01-02 6:00	7.9	359	11.2	1034.6	57	2.5	9	2.3	1.6	1.2	7.1	310"
"22108	2019-01-02 7:00	7.3	344	9.9	1034.6	56	2.6	8.9	2.8	1.7	1.2	7.1	319"
"22108	2019-01-02 8:00	7.6	347	10.6	1035.3	58	2.6	8.8	3	1.7	1.2	7.1	314"
"22108	2019-01-02 9:00	8.3	16	10.8	1035.9	65	2.5	8.7	2.4	1.4	1	7.1	328"
"22108	2019-01-02 10:00	7.4	10	10.1	1036.5	58	2	8.7	2.4	1.6	1.2	7.1	322"
"22108	2019-01-02 11:00	7	3	10.1	1036.4	59	2.1	8.7	2.4	1.6	1.1	6.4	312"
"22108	2019-01-02 12:00	7.3	4	10.3	1035.7	60	1.9	8.7	2.3	1.5	1	7.1	312"
"22108	2019-01-02 13:00	7.2	5	10.2	1034.7	61	1.9	8.7	1.9	1.4	1	6.4	316"
