지점,일시,풍속1(m/s),풍향1(deg),GUST풍속 1(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22108,2013-01-06 11:00,,,,,,,,,,,,
22108,2013-01-06 11:30,1.9,189,3.9,1026.7,63,-.8,1.4,0,0,0,6.4,208
22108,2013-01-06 12:00,,,,,,,,,,,,
22108,2013-01-06 12:30,2.1,339,4.8,1026.6,62,-.8,2,.5,.1,.1,4,75
22108,2013-01-06 13:00,,,,,,,,,,,,
22108,2013-01-06 13:30,2.2,318,5.2,1026.3,54,.3,4,0,0,0,6.4,234
22108,2013-01-06 14:30,2.3,141,6,1026,51,0,6.4,0,0,0,5.8,277
22108,2013-01-06 15:00,,,,,,,,,,,,
22108,2013-01-06 15:30,2.3,136,5.2,1025.9,52,.2,7.6,0,0,0,5.8,101
22108,2013-01-06 21:00,,,,,,,,,,,,
22108,2013-01-07 00:00,,,,,,,,,,,,
22108,2013-01-07 01:00,,,,,,,,,,,,
22108,2013-01-07 02:00,,,,,,,,,,,,
22108,2013-01-07 03:00,,,,,,,,,,,,
22108,2013-01-07 04:00,,,,,,,,,,,,
22108,2013-01-07 05:00,,,,,,,,,,,,
22108,2013-01-07 06:00,,,,,,,,,,,,
22108,2013-01-07 12:00,3.2,235,4.7,1026.5,53,-.4,7.4,1.5,.7,.5,4.6,166
22108,2013-01-07 13:00,.8,11,2.9,1025.9,53,.2,7.4,1.2,.7,.4,4.3,204
22108,2013-01-07 14:00,.8,37,2.8,1025.4,56,.1,7.4,1,.6,.4,4.6,119
22108,2013-01-07 15:00,3.4,356,5,1024.7,54,.7,7.4,.9,.6,.4,4.3,176
22108,2013-01-07 16:00,4.6,21,6.2,1024.7,57,1,7.4,.9,.6,.4,3.8,214
22108,2013-01-07 17:00,3.2,24,5.1,1024.9,58,1.2,7.4,.9,.5,.3,4.6,173
22108,2013-01-07 18:00,2.9,347,4.5,1025.1,57,1.2,7.3,.7,.5,.3,4.6,192
22108,2013-01-07 19:00,3.4,344,4.7,1025.4,58,1.4,6.9,.6,.4,.2,3.6,229
22108,2013-01-07 20:00,2.4,9,4,1025,60,1.5,7.3,.6,.4,.2,4.3,162
22108,2013-01-07 21:00,2.1,355,4.3,1024.7,59,1.4,7.2,.5,.3,.2,4.3,182
22108,2013-01-07 22:00,2.5,8,3.6,1024.7,60,1.9,7.2,.4,.3,.2,4,201
22108,2013-01-07 23:00,1.2,339,2.9,1025.2,62,1.8,7.2,.4,.2,.2,4.6,211
22108,2013-01-08 00:00,2.3,46,3.2,1024.8,61,1.9,7.2,.5,.2,.1,3.8,261
22108,2013-01-08 01:00,1.8,27,4.1,1025,64,1.9,7.3,.4,.2,.1,3.8,77
22108,2013-01-08 02:00,3.2,87,4.3,1025.8,68,1.9,7.1,.3,.2,.1,4.3,39
22108,2013-01-08 03:00,2.7,73,4.3,1025.4,66,1.7,7.2,.3,.2,.1,3.8,122
22108,2013-01-08 04:00,3.1,57,5.2,1025.3,64,1.7,7.3,.4,.3,.2,3.6,127
22108,2013-01-08 05:00,3.6,66,5.3,1025.4,64,1.6,7.3,.5,.3,.2,3.6,142
22108,2013-01-08 06:00,2.9,48,4.2,1025.3,63,1.6,7.1,.5,.3,.2,3.8,170
22108,2013-01-08 07:00,3.2,358,5.3,1025.6,61,1.5,7.2,.5,.3,.2,4.6,125
22108,2013-01-08 08:00,3.6,59,5.1,1025.9,63,1.4,7.1,.5,.4,.2,4.6,133
22108,2013-01-08 09:00,3.4,9,5.8,1026.6,65,1.3,7.2,.6,.4,.2,4.6,108
22108,2013-01-08 10:00,5.2,2,7.2,1027.3,69,1.9,7.2,.6,.4,.2,4.6,181
22108,2013-01-08 11:00,5.4,3,7.7,1027.5,63,1.8,7.2,.6,.4,.2,4.6,179
22108,2013-01-08 12:00,6.6,8,8.5,1026.7,61,1.5,7.2,.9,.6,.4,3,206
22108,2013-01-08 13:00,6.2,19,8.6,1025.9,51,1.6,7.2,.9,.6,.4,3.6,197
22108,2013-01-08 14:00,6.3,359,8.2,1025.5,53,1.6,7.3,1,.6,.4,3.8,201
22108,2013-01-08 15:00,7.3,8,9.6,1025.6,48,1.4,7.3,1.4,.7,.5,4,220
22108,2013-01-08 16:00,7.8,257,10,1025.5,55,1.3,7.3,1.4,.8,.5,4,204
