지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22108,2018-01-01 00:00,8.2,343,11.3,1026.6,47,4.2,7.9,2,1.2,.9,5.3,180
22108,2018-01-01 01:00,8.1,359,10.2,1026.5,49,4.4,7.9,2.1,1.3,.9,5.8,179
22108,2018-01-01 02:00,7.5,343,10.4,1026.3,50,4.4,8,2.2,1.2,.9,5.3,211
22108,2018-01-01 03:00,8,2,11,1026.2,50,4.6,8,2,1.2,.9,5.3,201
22108,2018-01-01 04:00,8.9,352,11.3,1026.6,51,4.7,8,2.3,1.6,1.1,5.8,187
22108,2018-01-01 05:00,8.5,10,11.5,1026.7,49,4.7,8,2.3,1.3,.9,5.8,165
22108,2018-01-01 06:00,8.4,358,10.6,1026.7,48,4.7,8,2.2,1.4,1,5.3,176
22108,2018-01-01 07:00,8.4,351,11.2,1026.9,42,4.6,7.9,2.2,1.2,.9,4.9,175
22108,2018-01-01 08:00,6.5,39,8.6,1027.5,53,4.1,7.8,1.8,1.3,.9,5.8,155
22108,2018-01-01 09:00,4.8,50,6.3,1028.4,53,3.8,7.7,2,1.2,.9,5.3,157
22108,2018-01-01 10:00,3.4,34,4.9,1029.1,48,3.8,7.8,1.6,1,.7,5.3,153
22108,2018-01-01 11:00,1.1,35,3.2,1029.8,49,4,7.7,1.5,1,.7,5.3,232
22108,2018-01-01 12:00,1.6,29,2.8,1029.7,53,4.1,7.6,1.9,1.1,.8,5.3,289
22108,2018-01-01 13:00,.5,13,1.4,1028.7,53,4.8,7.8,1.4,.8,.6,4.9,312
22108,2018-01-01 14:00,1.1,124,1.9,1028.1,51,4.8,8,1.3,.8,.6,5.8,343
22108,2018-01-01 15:00,.8,137,1.9,1027.7,52,4.8,8.2,1.2,.7,.5,4.9,342
22108,2018-01-01 16:00,.3,178,1.8,1028,52,4.7,8.1,1,.7,.5,4.9,355
22108,2018-01-01 17:00,2,155,3.3,1028.1,59,4.3,8,1.2,.7,.5,5.3,16
22108,2018-01-01 18:00,2.4,184,3.5,1028.1,66,4.3,8,1,.6,.5,5.3,61
22108,2018-01-01 19:00,2.4,203,3.2,1028.4,63,4.4,8,1,.6,.4,4.9,119
22108,2018-01-01 20:00,2,258,3,1028.8,60,4.9,8,1,.5,.4,4.9,143
22108,2018-01-01 21:00,1.3,246,2.1,1029.1,58,5,7.9,1,.6,.4,4.6,130
22108,2018-01-01 22:00,1.1,326,1.8,1029.3,57,5.1,7.9,.9,.6,.4,4.6,153
22108,2018-01-01 23:00,.2,284,.9,,54,5.1,7.8,.8,.5,.4,4.9,184
22108,2018-01-02 00:00,1.3,243,2.2,,56,5.2,7.7,.9,.5,.4,4.9,230
22108,2018-01-02 01:00,2.2,237,3.2,1029.2,56,5.5,7.7,.9,.5,.4,4.9,300
22108,2018-01-02 02:00,3.6,294,4.6,1028.9,54,5.8,7.7,.8,.5,.3,4.6,302
22108,2018-01-02 03:00,3,287,4.8,1029,55,5.8,7.8,.8,.5,.4,4.9,329
22108,2018-01-02 04:00,3,275,4.2,1028.7,50,5.8,7.9,.7,.5,.3,4,336
22108,2018-01-02 05:00,3,277,4,1028.5,53,5.9,7.9,.7,.4,.3,4.9,339
22108,2018-01-02 06:00,3.6,294,4.8,1028.5,49,6.1,8,.7,.4,.3,4.9,233
22108,2018-01-02 07:00,3.5,242,5.4,1028.7,51,6.4,8,.7,.4,.3,4.3,210
22108,2018-01-02 08:00,3.9,273,5,1029,56,6.6,7.9,.7,.4,.3,4.3,132
